BlockCode,TechCode,TechCategory,max_ad_down,max_ad_up
060014007003000,11,Copper (DSL/VDSL),18.0,1.5
060014007003000,12,Copper (DSL/VDSL),100.0,20.0
060014007003000,50,Fiber to the Premises,1000.0,1000.0
060014007003002,11,Copper (DSL/VDSL),18.0,1.5
060014007003002,12,Copper (DSL/VDSL),100.0,20.0
060014007003002,50,Fiber to the Premises,1000.0,1000.0
060014007003003,11,Copper (DSL/VDSL),6.0,1.0
060014007003003,12,Copper (DSL/VDSL),50.0,10.0
060014007003003,50,Fiber to the Premises,1000.0,1000.0
060014007003004,50,Fiber to the Premises,1000.0,1000.0
060014007003005,12,Copper (DSL/VDSL),50.0,10.0
060014007003005,50,Fiber to the Premises,1000.0,1000.0
060014007003006,11,Copper (DSL/VDSL),18.0,1.5
060014007003006,12,Copper (DSL/VDSL),100.0,20.0
060014007003006,50,Fiber to the Premises,1000.0,1000.0
060014007003008,10,Copper (DSL/VDSL),6.0,0.512
060014007003008,11,Copper (DSL/VDSL),18.0,1.5
060014007003008,12,Copper (DSL/VDSL),50.0,10.0
060014007003008,50,Fiber to the Premises,1000.0,1000.0
060014007003009,11,Copper (DSL/VDSL),18.0,1.5
060014007003009,12,Copper (DSL/VDSL),50.0,10.0
060014007003009,50,Fiber to the Premises,1000.0,1000.0
060014007003010,11,Copper (DSL/VDSL),18.0,1.5
060014007003010,12,Copper (DSL/VDSL),50.0,10.0
060014007003010,50,Fiber to the Premises,1000.0,1000.0
060014007003011,11,Copper (DSL/VDSL),18.0,1.5
060014007003011,12,Copper (DSL/VDSL),100.0,20.0
060014007003011,50,Fiber to the Premises,1000.0,1000.0
060014007004001,10,Copper (DSL/VDSL),6.0,0.512
060014007004001,11,Copper (DSL/VDSL),18.0,1.5
060014007004001,12,Copper (DSL/VDSL),75.0,20.0
060014007004001,50,Fiber to the Premises,1000.0,1000.0
060014007004004,10,Copper (DSL/VDSL),6.0,0.512
060014007004004,11,Copper (DSL/VDSL),18.0,1.5
060014007004004,12,Copper (DSL/VDSL),50.0,10.0
060014007004004,50,Fiber to the Premises,1000.0,1000.0
060014007004005,10,Copper (DSL/VDSL),6.0,0.512
060014007004005,11,Copper (DSL/VDSL),18.0,1.5
060014007004005,50,Fiber to the Premises,1000.0,1000.0
060014007004008,11,Copper (DSL/VDSL),18.0,1.5
060014007004008,12,Copper (DSL/VDSL),50.0,10.0
060014007004008,50,Fiber to the Premises,1000.0,1000.0
060014007004009,11,Copper (DSL/VDSL),18.0,1.5
060014007004009,12,Copper (DSL/VDSL),50.0,10.0
060014007004009,50,Fiber to the Premises,1000.0,1000.0
060014007004010,11,Copper (DSL/VDSL),18.0,1.5
060014007004010,12,Copper (DSL/VDSL),50.0,10.0
060014007004010,50,Fiber to the Premises,1000.0,1000.0
060014007004012,11,Copper (DSL/VDSL),18.0,1.5
060014007004012,12,Copper (DSL/VDSL),75.0,20.0
060014007004012,50,Fiber to the Premises,1000.0,1000.0
060014007004013,50,Fiber to the Premises,1000.0,1000.0
060014007004014,11,Copper (DSL/VDSL),18.0,1.5
060014007004014,12,Copper (DSL/VDSL),100.0,20.0
060014007004014,50,Fiber to the Premises,1000.0,1000.0
060014007004015,12,Copper (DSL/VDSL),50.0,10.0
060014007004015,50,Fiber to the Premises,1000.0,1000.0
060014007004016,11,Copper (DSL/VDSL),18.0,1.5
060014007004016,12,Copper (DSL/VDSL),50.0,10.0
060014007004016,50,Fiber to the Premises,1000.0,1000.0
060014007004017,11,Copper (DSL/VDSL),18.0,1.5
060014007004017,12,Copper (DSL/VDSL),75.0,20.0
060014007004017,50,Fiber to the Premises,1000.0,1000.0
060014007004020,11,Copper (DSL/VDSL),18.0,1.5
060014007004020,12,Copper (DSL/VDSL),50.0,10.0
060014007004020,50,Fiber to the Premises,1000.0,1000.0
060014007004021,10,Copper (DSL/VDSL),3.0,0.384
060014007004021,11,Copper (DSL/VDSL),18.0,1.5
060014007004021,12,Copper (DSL/VDSL),50.0,10.0
060014007004021,50,Fiber to the Premises,1000.0,1000.0
060014008001001,11,Copper (DSL/VDSL),18.0,1.5
060014008001001,12,Copper (DSL/VDSL),100.0,20.0
060014008001001,50,Fiber to the Premises,1000.0,1000.0
060014008001004,11,Copper (DSL/VDSL),5.0,1.0
060014008001005,11,Copper (DSL/VDSL),18.0,1.5
060014008001005,12,Copper (DSL/VDSL),100.0,20.0
060014008001006,11,Copper (DSL/VDSL),18.0,1.5
060014008001006,12,Copper (DSL/VDSL),100.0,20.0
060014008001007,11,Copper (DSL/VDSL),18.0,1.5
060014008001007,12,Copper (DSL/VDSL),100.0,20.0
060014008001009,11,Copper (DSL/VDSL),18.0,1.5
060014008001009,12,Copper (DSL/VDSL),100.0,20.0
060014008001009,50,Fiber to the Premises,1000.0,1000.0
060014008001010,11,Copper (DSL/VDSL),18.0,1.5
060014008001010,12,Copper (DSL/VDSL),100.0,20.0
060014008001010,50,Fiber to the Premises,1000.0,1000.0
060014008001011,11,Copper (DSL/VDSL),18.0,1.5
060014008001011,12,Copper (DSL/VDSL),100.0,20.0
060014008001011,50,Fiber to the Premises,1000.0,1000.0
060014008001012,10,Copper (DSL/VDSL),1.5,0.256
060014008001012,11,Copper (DSL/VDSL),18.0,1.5
060014008001012,12,Copper (DSL/VDSL),100.0,20.0
060014008001012,50,Fiber to the Premises,1000.0,1000.0
060014008001013,10,Copper (DSL/VDSL),1.5,0.256
060014008001013,11,Copper (DSL/VDSL),18.0,1.5
060014008001013,12,Copper (DSL/VDSL),100.0,20.0
060014008001013,50,Fiber to the Premises,1000.0,1000.0
060014008001015,11,Copper (DSL/VDSL),18.0,1.5
060014008001015,12,Copper (DSL/VDSL),100.0,20.0
060014008001016,10,Copper (DSL/VDSL),0.768,0.256
060014008001016,11,Copper (DSL/VDSL),18.0,1.5
060014008001016,12,Copper (DSL/VDSL),100.0,20.0
060014008001017,11,Copper (DSL/VDSL),18.0,1.5
060014008001017,12,Copper (DSL/VDSL),75.0,20.0
060014008001018,50,Fiber to the Premises,1000.0,1000.0
060014008001019,11,Copper (DSL/VDSL),18.0,1.5
060014008001019,12,Copper (DSL/VDSL),50.0,10.0
060014008001019,50,Fiber to the Premises,1000.0,1000.0
060014008001020,11,Copper (DSL/VDSL),18.0,1.5
060014008001020,12,Copper (DSL/VDSL),50.0,10.0
060014008001020,50,Fiber to the Premises,1000.0,1000.0
060014008001021,11,Copper (DSL/VDSL),18.0,1.5
060014008001021,12,Copper (DSL/VDSL),100.0,20.0
060014008001021,50,Fiber to the Premises,1000.0,1000.0
060014008001022,11,Copper (DSL/VDSL),18.0,1.5
060014008001022,12,Copper (DSL/VDSL),100.0,20.0
060014008001022,50,Fiber to the Premises,1000.0,1000.0
060014008001023,11,Copper (DSL/VDSL),18.0,1.5
060014008001023,12,Copper (DSL/VDSL),100.0,20.0
060014008001023,50,Fiber to the Premises,1000.0,1000.0
060014008001025,11,Copper (DSL/VDSL),18.0,1.5
060014008001025,12,Copper (DSL/VDSL),75.0,20.0
060014008001025,50,Fiber to the Premises,1000.0,1000.0
060014008001027,12,Copper (DSL/VDSL),50.0,10.0
060014008001027,50,Fiber to the Premises,1000.0,1000.0
060014008002000,11,Copper (DSL/VDSL),18.0,1.5
060014008002000,12,Copper (DSL/VDSL),50.0,10.0
060014008002000,50,Fiber to the Premises,1000.0,1000.0
060014008002001,10,Copper (DSL/VDSL),0.768,0.256
060014008002001,11,Copper (DSL/VDSL),18.0,1.5
060014008002001,12,Copper (DSL/VDSL),100.0,20.0
060014008002001,50,Fiber to the Premises,1000.0,1000.0
060014008002002,10,Copper (DSL/VDSL),1.5,0.256
060014008002002,11,Copper (DSL/VDSL),18.0,1.5
060014008002002,12,Copper (DSL/VDSL),100.0,20.0
060014008002002,50,Fiber to the Premises,1000.0,1000.0
060014008002003,11,Copper (DSL/VDSL),18.0,1.5
060014008002003,12,Copper (DSL/VDSL),100.0,20.0
060014008002003,50,Fiber to the Premises,1000.0,1000.0
060014008002004,10,Copper (DSL/VDSL),1.5,0.256
060014008002004,11,Copper (DSL/VDSL),18.0,1.5
060014008002004,12,Copper (DSL/VDSL),75.0,20.0
060014008002004,50,Fiber to the Premises,1000.0,1000.0
060014008002006,11,Copper (DSL/VDSL),18.0,1.5
060014008002006,12,Copper (DSL/VDSL),100.0,20.0
060014008002006,50,Fiber to the Premises,1000.0,1000.0
060014008002007,12,Copper (DSL/VDSL),50.0,10.0
060014008002007,50,Fiber to the Premises,1000.0,1000.0
060014008002008,10,Copper (DSL/VDSL),1.5,0.256
060014008002008,11,Copper (DSL/VDSL),18.0,1.5
060014008002008,12,Copper (DSL/VDSL),50.0,10.0
060014008002008,50,Fiber to the Premises,1000.0,1000.0
060014008002009,11,Copper (DSL/VDSL),18.0,1.5
060014008002009,12,Copper (DSL/VDSL),100.0,20.0
060014008002009,50,Fiber to the Premises,1000.0,1000.0
060014008002010,11,Copper (DSL/VDSL),3.0,1.0
060014008002010,12,Copper (DSL/VDSL),50.0,10.0
060014008002010,50,Fiber to the Premises,1000.0,1000.0
060014008002011,11,Copper (DSL/VDSL),3.0,1.0
060014008002011,50,Fiber to the Premises,1000.0,1000.0
060014008002012,11,Copper (DSL/VDSL),3.0,1.0
060014008002012,50,Fiber to the Premises,1000.0,1000.0
060014008003000,10,Copper (DSL/VDSL),1.5,0.256
060014008003000,11,Copper (DSL/VDSL),18.0,1.5
060014008003000,12,Copper (DSL/VDSL),50.0,10.0
060014008003000,50,Fiber to the Premises,1000.0,1000.0
060014008003001,11,Copper (DSL/VDSL),18.0,1.5
060014008003001,12,Copper (DSL/VDSL),75.0,20.0
060014008003001,50,Fiber to the Premises,1000.0,1000.0
060014008003002,11,Copper (DSL/VDSL),18.0,1.5
060014008003002,12,Copper (DSL/VDSL),100.0,20.0
060014008003002,50,Fiber to the Premises,1000.0,1000.0
060014008003004,12,Copper (DSL/VDSL),50.0,10.0
060014008003004,50,Fiber to the Premises,1000.0,1000.0
060014008003005,11,Copper (DSL/VDSL),18.0,1.5
060014008003005,12,Copper (DSL/VDSL),50.0,10.0
060014008003005,50,Fiber to the Premises,1000.0,1000.0
060014008003006,11,Copper (DSL/VDSL),18.0,1.5
060014008003006,50,Fiber to the Premises,1000.0,1000.0
060014008003007,11,Copper (DSL/VDSL),18.0,1.5
060014008003007,12,Copper (DSL/VDSL),75.0,20.0
060014008003007,50,Fiber to the Premises,1000.0,1000.0
060014008003008,10,Copper (DSL/VDSL),1.5,0.256
060014008003008,11,Copper (DSL/VDSL),18.0,1.5
060014008003008,12,Copper (DSL/VDSL),100.0,20.0
060014008003008,50,Fiber to the Premises,1000.0,1000.0
060014008003009,11,Copper (DSL/VDSL),18.0,1.5
060014008003009,12,Copper (DSL/VDSL),100.0,20.0
060014008003009,50,Fiber to the Premises,1000.0,1000.0
060014008003011,10,Copper (DSL/VDSL),3.0,0.384
060014008003011,11,Copper (DSL/VDSL),18.0,1.5
060014008003011,12,Copper (DSL/VDSL),100.0,20.0
060014008003011,50,Fiber to the Premises,1000.0,1000.0
060014008003012,12,Copper (DSL/VDSL),50.0,10.0
060014008003012,50,Fiber to the Premises,1000.0,1000.0
060014008003013,11,Copper (DSL/VDSL),18.0,1.5
060014008003013,12,Copper (DSL/VDSL),25.0,5.0
060014008003013,50,Fiber to the Premises,1000.0,1000.0
060014008003015,10,Copper (DSL/VDSL),1.5,0.256
060014008003015,11,Copper (DSL/VDSL),18.0,1.5
060014008003015,12,Copper (DSL/VDSL),75.0,20.0
060014008003015,50,Fiber to the Premises,1000.0,1000.0
060014009001000,11,Copper (DSL/VDSL),18.0,1.5
060014009001000,12,Copper (DSL/VDSL),75.0,20.0
060014009001001,11,Copper (DSL/VDSL),18.0,1.5
060014009001001,12,Copper (DSL/VDSL),50.0,10.0
060014009001001,50,Fiber to the Premises,1000.0,1000.0
060014009001002,11,Copper (DSL/VDSL),18.0,1.5
060014009001002,12,Copper (DSL/VDSL),100.0,20.0
060014009001002,50,Fiber to the Premises,1000.0,1000.0
060014009001003,11,Copper (DSL/VDSL),18.0,1.5
060014009001003,12,Copper (DSL/VDSL),100.0,20.0
060014009001003,50,Fiber to the Premises,1000.0,1000.0
060014009001004,11,Copper (DSL/VDSL),3.0,1.0
060014009001004,12,Copper (DSL/VDSL),50.0,10.0
060014009001004,50,Fiber to the Premises,1000.0,1000.0
060014009001005,11,Copper (DSL/VDSL),18.0,1.5
060014009001005,12,Copper (DSL/VDSL),75.0,20.0
060014009001005,50,Fiber to the Premises,1000.0,1000.0
060014009001006,11,Copper (DSL/VDSL),18.0,1.5
060014009001006,12,Copper (DSL/VDSL),75.0,20.0
060014009001006,50,Fiber to the Premises,1000.0,1000.0
060014009001007,11,Copper (DSL/VDSL),18.0,1.5
060014009001007,12,Copper (DSL/VDSL),100.0,20.0
060014009001007,50,Fiber to the Premises,1000.0,1000.0
